run_id,gene,lineage,fg_type,role,lnL_null,lnL_alt_best,LRT_2dlnL,p_raw_half_chi2_df1,fg_omega_2a,p2a_p2b,n_beb_gt95,status,n_tests_prereg,alpha_prereg,n_tests_realised,alpha_realised,bonferroni_p_prereg,bonferroni_p_realised,bh_q,bonferroni_significant_prereg,bonferroni_significant_realised,bh_significant_q05,bh_significant_q10
TAS1R1_pc_v4__apodiformes_clade,TAS1R1,apodiformes_clade_v4_pc,positive_control_clade,control,-19261.974718,-19234.023611,55.90221400000155,3.8080649744642876e-14,9.37833,0.0156,6,ok,60,0.0008333333333333334,21,0.002380952380952381,2.2848389846785726e-12,7.996936446375004e-13,,True,True,False,False
TAS1R1_pc_v4__hummingbirds_clade,TAS1R1,hummingbirds_clade_v4_pc,positive_control_clade,control,-19259.063316,-19228.532322,61.06198800000129,2.7755575615628914e-15,9.54929,0.01841,7,ok,60,0.0008333333333333334,21,0.002380952380952381,1.6653345369377348e-13,5.828670879282072e-14,,True,True,False,False
TAS1R1_pc_v4__mouse_control,TAS1R1,mouse_control_v4_pc,negative_control_tip,control,-19266.68303,-19266.68303,0.0,0.5,1.0,0.0,0,ok,60,0.0008333333333333334,21,0.002380952380952381,1.0,1.0,,False,False,False,False
TAS1R1__mammalia_clade_v4,TAS1R1,mammalia_clade_v4,clade,production,-19253.609335,-19253.609335,0.0,0.5,1.0,0.12539999999999998,0,ok,60,0.0008333333333333334,21,0.002380952380952381,1.0,1.0,0.5,False,False,False,False
TAS1R1__rodentia_clade_v4,TAS1R1,rodentia_clade_v4,clade,production,-19265.097564,-19265.097564,0.0,0.5,1.0,0.04597999999999999,0,ok,60,0.0008333333333333334,21,0.002380952380952381,1.0,1.0,0.5,False,False,False,False
TAS1R1__homo_tip_v4,TAS1R1,homo_tip_v4,tip_underpowered,production,-19263.648201,-19263.648201,0.0,0.5,1.0,0.13585999999999998,0,ok,60,0.0008333333333333334,21,0.002380952380952381,1.0,1.0,0.5,False,False,False,False
TAS1R1__gallus_tip_v4,TAS1R1,gallus_tip_v4,tip_underpowered,production,-19265.757763,-19265.757763,0.0,0.5,1.0,0.04853,0,ok,60,0.0008333333333333334,21,0.002380952380952381,1.0,1.0,0.5,False,False,False,False
TAS1R1__danio_tip_v4,TAS1R1,danio_tip_v4,tip_underpowered,production,-19252.816857,-19242.901696,19.830322000001615,4.2314731793502425e-06,88.70563,0.18451,0,ok,60,0.0008333333333333334,21,0.002380952380952381,0.00025388839076101455,8.886093676635509e-05,8.886093676635509e-05,True,True,True,True
TAS1R1__passeriformes_tip_v4,TAS1R1,passeriformes_tip_v4,tip_underpowered,production,-19265.046189,-19260.403545,9.285287999999127,0.001155008000625,48.91234,0.01883,1,ok,60,0.0008333333333333334,21,0.002380952380952381,0.0693004800375,0.024255168013124998,0.0060637920032812495,False,True,True,True
TAS1R1__apus_tip_v4,TAS1R1,apus_tip_v4,tip_underpowered,production,-19266.68303,-19266.68303,0.0,0.5,1.0,0.0,0,ok,60,0.0008333333333333334,21,0.002380952380952381,1.0,1.0,0.5,False,False,False,False
TAS1R3__mammalia_clade,TAS1R3,mammalia_clade,clade,production,-11528.244471,-11528.244471,0.0,0.5,1.0,0.09480000000000001,0,ok,60,0.0008333333333333334,21,0.002380952380952381,1.0,1.0,0.5,False,False,False,False
TAS1R3__rodentia_clade,TAS1R3,rodentia_clade,clade,production,-11529.517556,-11529.517556,0.0,0.5,1.0,0.06569,0,ok,60,0.0008333333333333334,21,0.002380952380952381,1.0,1.0,0.5,False,False,False,False
TAS1R3__homo_tip,TAS1R3,homo_tip,tip_underpowered,production,-11531.374543,-11530.232434,2.284218000000692,0.0653480003687083,3.49278,0.03358,0,ok,60,0.0008333333333333334,21,0.002380952380952381,1.0,1.0,0.22871800129047906,False,False,False,False
TAS1R3__gallus_tip,TAS1R3,gallus_tip,tip_underpowered,production,-11513.389829,-11511.824461,3.1307359999991604,0.0384145237984676,2.40571,0.25007999999999997,2,ok,60,0.0008333333333333334,21,0.002380952380952381,1.0,0.8067049997678195,0.1613409999535639,False,False,False,False
TAS1R3__danio_tip,TAS1R3,danio_tip,tip_underpowered,production,-11515.99062,-11515.923597,0.1340459999992163,0.3571366739245367,1.27358,0.20325000000000001,0,ok,60,0.0008333333333333334,21,0.002380952380952381,1.0,1.0,0.5,False,False,False,False
TAS1R1__mammalia_clade_p3,TAS1R1,mammalia_clade_p3,clade,production,-11101.954327,-11101.954327,0.0,0.5,1.0,0.12846,0,ok,60,0.0008333333333333334,21,0.002380952380952381,1.0,1.0,0.5,False,False,False,False
Gr_sweet__dmel_Gr64_cluster,Gr_sweet,dmel_Gr64_cluster,clade,production,-52162.226067,-52162.226067,0.0,0.5,1.0,0.06831,1,ok,60,0.0008333333333333334,21,0.002380952380952381,1.0,1.0,0.5,False,False,False,False
Gr_sweet__amellifera_clade,Gr_sweet,amellifera_clade,clade,production,-52168.121073,-52163.159208,9.923730000009527,0.0008158069517533,36.18145,0.12021,0,ok,60,0.0008333333333333334,21,0.002380952380952381,0.048948417105198,0.0171319459868193,0.0057106486622731,True,True,True,True
Gr_sweet__lepidoptera_clade,Gr_sweet,lepidoptera_clade,clade,production,-52144.978842,-52144.978842,0.0,0.5,1.0,0.14724,3,ok,60,0.0008333333333333334,21,0.002380952380952381,1.0,1.0,0.5,False,False,False,False
Gr_sweet__coleoptera_clade,Gr_sweet,coleoptera_clade,clade,production,-52145.027945,-52145.027977,-6.399999256245792e-05,0.5,1.0,0.1834,2,ok,60,0.0008333333333333334,21,0.002380952380952381,1.0,1.0,0.5,False,False,False,False
Gr_sweet__aaegypti_clade,Gr_sweet,aaegypti_clade,clade,production,-52153.153732,-52153.153741,-1.8000006093643606e-05,0.5,1.0,0.15582000000000001,0,ok,60,0.0008333333333333334,21,0.002380952380952381,1.0,1.0,0.5,False,False,False,False
Gr_sweet__dmel_all_clade,Gr_sweet,dmel_all_clade,clade,production,-52161.8601,-52161.8601,0.0,0.5,1.0,0.06396,1,ok,60,0.0008333333333333334,21,0.002380952380952381,1.0,1.0,0.5,False,False,False,False
Gr_sweet__Gr5a_tip,Gr_sweet,Gr5a_tip,tip_underpowered,production,-52158.024519,-52151.880799,12.28744000000006,0.0002280084076189,57.01877,0.69943,53,ok,60,0.0008333333333333334,21,0.002380952380952381,0.013680504457134,0.0047881765599969,0.00239408827999845,True,True,True,True
